time	V(cmp_out)	V(filt_out)	V(vin_sensor)
0.000000000000000e+00	3.300000e+00	2.000000e+00	2.000000e-01
3.744914179800878e-05	3.300000e+00	1.999997e+00	2.000471e-01
7.489828359601756e-05	3.300000e+00	2.000006e+00	2.000941e-01
1.123474253940263e-04	3.300000e+00	2.000026e+00	2.001412e-01
1.497965671920351e-04	3.300000e+00	2.000057e+00	2.001882e-01
1.872457089900439e-04	3.300000e+00	2.000100e+00	2.002353e-01
2.246948507880527e-04	3.300000e+00	2.000154e+00	2.002824e-01
2.621439925860614e-04	3.300000e+00	2.000219e+00	2.003294e-01
5.242879851721227e-04	3.300000e+00	2.001115e+00	2.006588e-01
1.048575970344245e-03	3.300000e+00	2.004604e+00	2.013176e-01
2.048575970344245e-03	3.300000e+00	2.014653e+00	2.025740e-01
3.048575970344245e-03	3.300000e+00	2.026595e+00	2.038300e-01
5.048575970344246e-03	3.300000e+00	2.051516e+00	2.063400e-01
1.547714739891569e-02	3.300000e+00	2.186555e+00	2.198231e-01
2.590571882748713e-02	3.300000e+00	2.313376e+00	2.324668e-01
3.633429025605857e-02	3.300000e+00	2.431978e+00	2.442711e-01
4.676286168463001e-02	3.300000e+00	2.542362e+00	2.552359e-01
5.719143311320145e-02	3.300000e+00	2.644528e+00	2.653612e-01
6.762000454177289e-02	3.300000e+00	2.738475e+00	2.746471e-01
7.804857597034430e-02	3.300000e+00	2.824203e+00	2.830936e-01
8.704857597034431e-02	3.300000e+00	2.883747e+00	2.889286e-01
9.604857597034432e-02	3.300000e+00	2.930956e+00	2.935271e-01
1.050485759703443e-01	3.300000e+00	2.965832e+00	2.968892e-01
1.140485759703443e-01	3.300000e+00	2.988373e+00	2.990149e-01
1.230485759703444e-01	3.300000e+00	2.998581e+00	2.999041e-01
1.320485759703444e-01	3.300000e+00	2.996455e+00	2.995569e-01
1.410485759703443e-01	3.300000e+00	2.981995e+00	2.979733e-01
1.513342902560586e-01	3.300000e+00	2.946558e+00	2.942754e-01
1.616200045417729e-01	3.300000e+00	2.898002e+00	2.892773e-01
1.719057188274872e-01	3.300000e+00	2.836326e+00	2.829791e-01
1.821914331132015e-01	3.300000e+00	2.761531e+00	2.753805e-01
1.924771473989158e-01	3.300000e+00	2.673617e+00	2.664818e-01
