time_s,edge
0.3254265759703444,falling
0.427850004541773,rising
0.8252486473989161,falling
0.9278045045417734,rising
1.325164504541738,falling
1.427821504541727,rising
1.825181504541684,falling
1.927810504541673,rising
2.32517050454163,falling
2.42782750454162,rising
2.825187504541577,falling
2.927816504541566,rising
3.325176504541523,falling
3.427805504541513,rising
3.82516550454147,falling
3.927822504541459,rising
4.325182504541559,falling
4.427811504541591,rising
4.825244647398865,falling
4.927828504541753,rising
5.325188504541884,falling
5.427817504541916,rising
5.825177504542046,falling
5.927806504542079,rising
